resume_text,label
"bachelor of information technology. worked for 5 years of experience in software development. skilled in nlp, aws, react, pandas, numpy, docker, machine learning. built projects including web app, automation project.",1
"bachelor of information technology. worked for 5 years of experience in software development. skilled in node, docker, python, aws. built projects including cloud deployment, automation project, api development.",1
"bachelor of computer science. worked for 10 years of experience in software development. skilled in nlp, python, sql, pandas. built projects including data pipeline, recommendation system, cloud deployment.",1
"bachelor of information technology. worked for 7 years of experience in software development. skilled in python, react, sql, docker, tensorflow, java. built projects including data pipeline, automation project.",1
"bachelor of information technology. worked for 10 years of experience in software development. skilled in tensorflow, java, aws, pandas, docker, node. built projects including automation project, cloud deployment, recommendation system.",1
"bachelor of information technology. worked for 1 years of experience in software development. skilled in tensorflow, node, deep learning, machine learning. built projects including recommendation system, cloud deployment, automation project.",0
"master of data science. worked for 10 years of experience in software development. skilled in nlp, sql, deep learning. built projects including recommendation system.",0
"bachelor of computer science. worked for 1 years of experience in software development. skilled in aws, node, docker, sql, machine learning. built projects including cloud deployment, api development, web app.",0
"bachelor of computer science. worked for 2 years of experience in software development. skilled in numpy, docker, node. built projects including web app, cloud deployment, automation project.",0
"bachelor of computer science. worked for 5 years of experience in software development. skilled in nlp, deep learning, tensorflow, python, node. built projects including automation project, api development.",1
"master of data science. worked for 1 years of experience in software development. skilled in aws, numpy, deep learning, docker, tensorflow, nlp. built projects including web app, cloud deployment.",0
"bachelor of computer science. worked for 1 years of experience in software development. skilled in docker, numpy, aws, react. built projects including automation project, data pipeline.",0
"master of data science. worked for 10 years of experience in software development. skilled in deep learning, python, numpy, react, nlp, node. built projects including api development.",1
"master of data science. worked for 2 years of experience in software development. skilled in numpy, deep learning, tensorflow, sql. built projects including recommendation system, automation project, data pipeline.",1
"bachelor of computer science. worked for 1 years of experience in software development. skilled in aws, react, sql, java, deep learning, node, nlp. built projects including web app, automation project.",0
"bachelor of computer science. worked for 7 years of experience in software development. skilled in pandas, node, deep learning, sql, tensorflow. built projects including data pipeline, automation project.",1
"bachelor of computer science. worked for 5 years of experience in software development. skilled in sql, machine learning, tensorflow. built projects including automation project, cloud deployment, data pipeline.",0
"bachelor of information technology. worked for 5 years of experience in software development. skilled in deep learning, pandas, java. built projects including data pipeline, automation project.",0
"bachelor of information technology. worked for 5 years of experience in software development. skilled in java, tensorflow, machine learning, nlp, python. built projects including api development, data pipeline, web app.",1
"master of data science. worked for 1 years of experience in software development. skilled in react, deep learning, tensorflow, docker, java, sql. built projects including recommendation system.",0
"master of data science. worked for 5 years of experience in software development. skilled in java, machine learning, pandas. built projects including cloud deployment.",0
"bachelor of information technology. worked for 3 years of experience in software development. skilled in docker, numpy, sql, node, java, nlp, deep learning. built projects including data pipeline, recommendation system.",1
"master of data science. worked for 3 years of experience in software development. skilled in nlp, node, machine learning, aws. built projects including automation project.",1
"bachelor of information technology. worked for 7 years of experience in software development. skilled in python, docker, deep learning, machine learning, java. built projects including recommendation system, web app.",1
"bachelor of computer science. worked for 10 years of experience in software development. skilled in python, node, aws, machine learning, sql, numpy, react. built projects including web app, api development, automation project.",1
"bachelor of information technology. worked for 3 years of experience in software development. skilled in node, numpy, python, deep learning. built projects including web app.",1
"bachelor of computer science. worked for 3 years of experience in software development. skilled in java, tensorflow, python, sql. built projects including data pipeline.",1
"bachelor of information technology. worked for 7 years of experience in software development. skilled in python, sql, deep learning, node, react. built projects including cloud deployment, api development, recommendation system.",1
"bachelor of information technology. worked for 1 years of experience in software development. skilled in nlp, aws, pandas, numpy, java, node. built projects including web app, api development, recommendation system.",0
"master of data science. worked for 10 years of experience in software development. skilled in deep learning, nlp, tensorflow, python, numpy, react, docker. built projects including cloud deployment, recommendation system.",1
"bachelor of information technology. worked for 10 years of experience in software development. skilled in java, node, aws, numpy, sql, react. built projects including data pipeline.",1
"bachelor of information technology. worked for 10 years of experience in software development. skilled in pandas, react, aws, docker, node, deep learning, machine learning. built projects including api development, cloud deployment, recommendation system.",1
"bachelor of information technology. worked for 1 years of experience in software development. skilled in react, machine learning, docker, nlp, node, tensorflow, sql. built projects including cloud deployment, automation project.",0
"master of data science. worked for 1 years of experience in software development. skilled in docker, aws, tensorflow, deep learning, react. built projects including automation project.",0
"bachelor of information technology. worked for 1 years of experience in software development. skilled in java, node, docker. built projects including automation project.",0
"master of data science. worked for 3 years of experience in software development. skilled in pandas, python, numpy, node. built projects including data pipeline, recommendation system, cloud deployment.",1
"bachelor of information technology. worked for 10 years of experience in software development. skilled in react, python, deep learning, numpy, tensorflow, aws. built projects including api development.",1
"bachelor of computer science. worked for 2 years of experience in software development. skilled in tensorflow, nlp, machine learning, java. built projects including api development, data pipeline.",1
"bachelor of computer science. worked for 3 years of experience in software development. skilled in machine learning, docker, pandas, numpy, tensorflow, python, deep learning. built projects including automation project, data pipeline, recommendation system.",1
"bachelor of computer science. worked for 3 years of experience in software development. skilled in aws, node, python, sql, numpy. built projects including automation project, cloud deployment, recommendation system.",1
"master of data science. worked for 10 years of experience in software development. skilled in java, react, pandas. built projects including cloud deployment.",0
"bachelor of computer science. worked for 5 years of experience in software development. skilled in sql, aws, deep learning, react, java. built projects including web app.",1
"master of data science. worked for 7 years of experience in software development. skilled in tensorflow, java, deep learning. built projects including automation project, cloud deployment.",0
"bachelor of information technology. worked for 7 years of experience in software development. skilled in docker, deep learning, machine learning, pandas, java, aws. built projects including recommendation system, data pipeline.",1
"master of data science. worked for 10 years of experience in software development. skilled in nlp, pandas, tensorflow, deep learning, python, machine learning, node. built projects including recommendation system, automation project, web app.",1
"master of data science. worked for 2 years of experience in software development. skilled in node, deep learning, react, aws. built projects including recommendation system.",1
"bachelor of information technology. worked for 10 years of experience in software development. skilled in sql, node, docker, pandas, machine learning, aws. built projects including cloud deployment.",1
"bachelor of computer science. worked for 1 years of experience in software development. skilled in python, nlp, java, aws, docker, pandas. built projects including automation project, cloud deployment, data pipeline.",0
"bachelor of computer science. worked for 5 years of experience in software development. skilled in aws, sql, numpy. built projects including automation project, data pipeline.",0
"master of data science. worked for 5 years of experience in software development. skilled in machine learning, docker, numpy. built projects including api development, recommendation system.",0
"master of data science. worked for 3 years of experience in software development. skilled in machine learning, aws, sql, java, pandas. built projects including recommendation system, api development, web app.",1
"bachelor of information technology. worked for 3 years of experience in software development. skilled in machine learning, java, sql, deep learning. built projects including web app.",1
"master of data science. worked for 2 years of experience in software development. skilled in sql, tensorflow, nlp. built projects including api development, automation project.",0
"master of data science. worked for 10 years of experience in software development. skilled in tensorflow, node, numpy, aws, react, sql, machine learning. built projects including cloud deployment.",1
"master of data science. worked for 10 years of experience in software development. skilled in node, deep learning, numpy, python, aws. built projects including recommendation system, data pipeline, cloud deployment.",1
"master of data science. worked for 1 years of experience in software development. skilled in aws, deep learning, java. built projects including recommendation system, api development, cloud deployment.",0
"bachelor of computer science. worked for 7 years of experience in software development. skilled in node, react, python, nlp, machine learning, aws, deep learning. built projects including api development, web app.",1
"bachelor of computer science. worked for 5 years of experience in software development. skilled in node, aws, java. built projects including automation project, web app, recommendation system.",0
"master of data science. worked for 10 years of experience in software development. skilled in nlp, pandas, react, numpy, sql, aws. built projects including data pipeline, cloud deployment.",1
"master of data science. worked for 3 years of experience in software development. skilled in python, tensorflow, react, aws, java, numpy, node. built projects including automation project, cloud deployment, data pipeline.",1
"bachelor of information technology. worked for 10 years of experience in software development. skilled in sql, aws, java, numpy, node, react, pandas. built projects including automation project, cloud deployment, web app.",1
"bachelor of information technology. worked for 10 years of experience in software development. skilled in deep learning, pandas, docker. built projects including data pipeline, web app, recommendation system.",0
"master of data science. worked for 10 years of experience in software development. skilled in pandas, aws, python, react, deep learning, sql. built projects including data pipeline.",1
"bachelor of information technology. worked for 2 years of experience in software development. skilled in sql, node, java, deep learning. built projects including api development.",1
"bachelor of information technology. worked for 10 years of experience in software development. skilled in python, tensorflow, aws, numpy, sql, docker, java. built projects including web app.",1
"master of data science. worked for 7 years of experience in software development. skilled in react, nlp, python, docker. built projects including automation project, web app.",1
"master of data science. worked for 7 years of experience in software development. skilled in node, react, nlp, machine learning, pandas. built projects including data pipeline.",1
"master of data science. worked for 2 years of experience in software development. skilled in tensorflow, numpy, nlp, node, deep learning. built projects including api development, automation project.",1
"master of data science. worked for 2 years of experience in software development. skilled in node, numpy, sql, deep learning. built projects including automation project.",1
"master of data science. worked for 3 years of experience in software development. skilled in java, react, pandas, node, deep learning, numpy, docker. built projects including data pipeline.",1
"bachelor of computer science. worked for 7 years of experience in software development. skilled in docker, java, machine learning, nlp. built projects including recommendation system, cloud deployment.",1
"bachelor of computer science. worked for 5 years of experience in software development. skilled in aws, machine learning, docker, java, node, react, python. built projects including recommendation system, data pipeline.",1
"bachelor of computer science. worked for 2 years of experience in software development. skilled in deep learning, nlp, sql. built projects including cloud deployment, automation project, recommendation system.",0
"bachelor of computer science. worked for 1 years of experience in software development. skilled in machine learning, sql, pandas, numpy, tensorflow. built projects including recommendation system, data pipeline.",0
"bachelor of computer science. worked for 3 years of experience in software development. skilled in python, machine learning, docker. built projects including api development, cloud deployment, recommendation system.",0
"master of data science. worked for 5 years of experience in software development. skilled in pandas, python, tensorflow, node, machine learning, sql, nlp. built projects including recommendation system, api development.",1
"master of data science. worked for 2 years of experience in software development. skilled in docker, sql, tensorflow, java, pandas, aws, python. built projects including api development, automation project, recommendation system.",1
"master of data science. worked for 5 years of experience in software development. skilled in tensorflow, docker, aws. built projects including automation project, recommendation system.",0
"master of data science. worked for 1 years of experience in software development. skilled in machine learning, react, tensorflow, java, aws. built projects including recommendation system.",0
"bachelor of information technology. worked for 7 years of experience in software development. skilled in tensorflow, sql, node, nlp, numpy. built projects including web app, automation project, recommendation system.",1
"master of data science. worked for 5 years of experience in software development. skilled in deep learning, machine learning, python. built projects including recommendation system.",0
"master of data science. worked for 3 years of experience in software development. skilled in docker, pandas, nlp, deep learning, python, machine learning, sql. built projects including recommendation system, data pipeline.",1
"bachelor of information technology. worked for 1 years of experience in software development. skilled in docker, node, nlp, react, aws. built projects including cloud deployment.",0
"bachelor of information technology. worked for 5 years of experience in software development. skilled in node, pandas, deep learning, java, docker. built projects including cloud deployment.",1
"bachelor of computer science. worked for 2 years of experience in software development. skilled in deep learning, aws, java, tensorflow, react, node, sql. built projects including api development, cloud deployment.",1
"master of data science. worked for 10 years of experience in software development. skilled in aws, nlp, python, node, docker, deep learning. built projects including recommendation system, automation project, cloud deployment.",1
"bachelor of computer science. worked for 7 years of experience in software development. skilled in python, sql, numpy, nlp. built projects including web app.",1
"master of data science. worked for 2 years of experience in software development. skilled in aws, docker, numpy, python, sql. built projects including cloud deployment, data pipeline, api development.",1
"bachelor of information technology. worked for 1 years of experience in software development. skilled in sql, pandas, aws, docker, tensorflow, deep learning, java. built projects including recommendation system.",0
"bachelor of information technology. worked for 2 years of experience in software development. skilled in pandas, docker, node, java, deep learning, tensorflow. built projects including cloud deployment, web app, data pipeline.",1
"master of data science. worked for 5 years of experience in software development. skilled in java, sql, node, nlp. built projects including automation project.",1
"bachelor of information technology. worked for 1 years of experience in software development. skilled in tensorflow, aws, java, pandas, numpy. built projects including data pipeline, web app.",0
"bachelor of computer science. worked for 10 years of experience in software development. skilled in node, aws, pandas, machine learning. built projects including web app.",1
"bachelor of computer science. worked for 2 years of experience in software development. skilled in python, aws, pandas, numpy, react, nlp. built projects including web app, api development, recommendation system.",1
"bachelor of information technology. worked for 3 years of experience in software development. skilled in react, node, nlp, pandas, docker, numpy. built projects including recommendation system, web app, data pipeline.",1
"bachelor of information technology. worked for 1 years of experience in software development. skilled in nlp, tensorflow, pandas, aws, sql, react. built projects including cloud deployment.",0
"master of data science. worked for 1 years of experience in software development. skilled in pandas, sql, deep learning. built projects including web app.",0
"master of data science. worked for 10 years of experience in software development. skilled in aws, pandas, deep learning, java. built projects including web app, api development.",1
"bachelor of information technology. worked for 2 years of experience in software development. skilled in numpy, pandas, java, react, sql. built projects including api development, web app, automation project.",1
"bachelor of information technology. worked for 7 years of experience in software development. skilled in aws, numpy, python, tensorflow, java, react, node. built projects including data pipeline, web app, cloud deployment.",1
"master of data science. worked for 10 years of experience in software development. skilled in nlp, tensorflow, pandas. built projects including automation project, data pipeline.",0
"bachelor of computer science. worked for 2 years of experience in software development. skilled in deep learning, nlp, java, python, sql, react. built projects including cloud deployment, automation project.",1
"bachelor of computer science. worked for 3 years of experience in software development. skilled in sql, aws, react, tensorflow, docker, node, pandas. built projects including api development, automation project.",1
"bachelor of computer science. worked for 3 years of experience in software development. skilled in nlp, java, deep learning, node. built projects including web app.",1
"bachelor of computer science. worked for 1 years of experience in software development. skilled in docker, numpy, node, machine learning, sql. built projects including api development, data pipeline.",0
"bachelor of information technology. worked for 2 years of experience in software development. skilled in pandas, nlp, react, deep learning, tensorflow, python. built projects including cloud deployment.",1
"master of data science. worked for 5 years of experience in software development. skilled in machine learning, numpy, aws, python. built projects including data pipeline.",1
"master of data science. worked for 7 years of experience in software development. skilled in deep learning, pandas, python, java, docker, sql. built projects including automation project, data pipeline.",1
"bachelor of computer science. worked for 3 years of experience in software development. skilled in docker, python, numpy. built projects including web app, data pipeline, api development.",0
"bachelor of information technology. worked for 5 years of experience in software development. skilled in nlp, pandas, deep learning, numpy, java, sql, python. built projects including data pipeline, automation project.",1
"bachelor of computer science. worked for 3 years of experience in software development. skilled in machine learning, numpy, pandas, docker. built projects including recommendation system, automation project, api development.",1
"bachelor of information technology. worked for 10 years of experience in software development. skilled in node, nlp, pandas, react, sql. built projects including api development, web app, data pipeline.",1
"bachelor of information technology. worked for 3 years of experience in software development. skilled in docker, numpy, deep learning, react. built projects including api development, automation project.",1
"master of data science. worked for 5 years of experience in software development. skilled in deep learning, nlp, python, aws, numpy, java, machine learning. built projects including data pipeline, recommendation system, cloud deployment.",1
"bachelor of computer science. worked for 10 years of experience in software development. skilled in numpy, machine learning, python, node, nlp, sql, deep learning. built projects including automation project, api development, cloud deployment.",1
"master of data science. worked for 10 years of experience in software development. skilled in python, numpy, java, machine learning. built projects including cloud deployment.",1
"bachelor of information technology. worked for 5 years of experience in software development. skilled in docker, react, machine learning, node. built projects including api development, cloud deployment, recommendation system.",1
"bachelor of information technology. worked for 2 years of experience in software development. skilled in machine learning, pandas, aws, nlp, react, docker, sql. built projects including cloud deployment.",1
"bachelor of computer science. worked for 3 years of experience in software development. skilled in aws, tensorflow, react, deep learning, nlp, machine learning, java. built projects including api development, data pipeline.",1
"master of data science. worked for 3 years of experience in software development. skilled in react, machine learning, nlp, aws, tensorflow. built projects including api development, data pipeline.",1
"bachelor of information technology. worked for 1 years of experience in software development. skilled in tensorflow, pandas, docker, node, aws, sql, nlp. built projects including data pipeline.",0
"master of data science. worked for 1 years of experience in software development. skilled in nlp, tensorflow, deep learning, node, machine learning. built projects including api development.",0
"bachelor of information technology. worked for 7 years of experience in software development. skilled in sql, java, numpy, tensorflow, machine learning. built projects including recommendation system.",1
"bachelor of computer science. worked for 7 years of experience in software development. skilled in tensorflow, machine learning, python, java. built projects including data pipeline, cloud deployment.",1
"master of data science. worked for 10 years of experience in software development. skilled in python, pandas, sql, docker. built projects including cloud deployment, automation project, web app.",1
"master of data science. worked for 3 years of experience in software development. skilled in tensorflow, python, java, numpy, machine learning. built projects including automation project, recommendation system, web app.",1
"master of data science. worked for 2 years of experience in software development. skilled in docker, nlp, sql. built projects including data pipeline, recommendation system, api development.",0
"bachelor of computer science. worked for 7 years of experience in software development. skilled in java, aws, deep learning, nlp, pandas, numpy, node. built projects including cloud deployment, data pipeline, web app.",1
"master of data science. worked for 3 years of experience in software development. skilled in react, nlp, tensorflow, deep learning. built projects including web app, recommendation system, data pipeline.",1
"bachelor of computer science. worked for 7 years of experience in software development. skilled in sql, numpy, tensorflow, docker. built projects including api development, data pipeline.",1
"master of data science. worked for 5 years of experience in software development. skilled in sql, node, nlp. built projects including web app, recommendation system.",0
